ano;UF;VD3004;escolaridade;VD4014;faixa_horas_trabalhadas;V403312;se
2024;43;4;Ensino Médio;1;Até 14 Horas;1464,648725135930;1,65287019476534e+02
2024;50;4;Ensino Médio;1;Até 14 Horas;1439,555269289488;2,85195228188339e+02
2024;51;4;Ensino Médio;1;Até 14 Horas;1565,111350761107;3,89545882516305e+02
2024;52;4;Ensino Médio;1;Até 14 Horas;1161,362597413634;2,27471802902262e+02
2024;53;4;Ensino Médio;1;Até 14 Horas;2055,812410309712;8,89787411215466e+02
2024;11;5;Ensino Médio;1;Até 14 Horas;4672,282773167956;1,82987675089321e+03
2024;12;5;Ensino Médio;1;Até 14 Horas;1406,951109589564;2,76191742141188e+02
2024;13;5;Ensino Médio;1;Até 14 Horas;874,375242275182;1,09656961718600e+02
2024;14;5;Ensino Médio;1;Até 14 Horas;1274,896317211344;2,13063235260230e+02
2024;15;5;Ensino Médio;1;Até 14 Horas;1054,678559054922;9,16174982558109e+01
2024;16;5;Ensino Médio;1;Até 14 Horas;774,331057740174;3,04642405757775e+02
2024;17;5;Ensino Médio;1;Até 14 Horas;1252,415916055577;1,65515786424727e+02
2024;21;5;Ensino Médio;1;Até 14 Horas;1036,016352149584;8,74021796787065e+01
2024;22;5;Ensino Médio;1;Até 14 Horas;909,801281608193;9,52284788680537e+01
2024;23;5;Ensino Médio;1;Até 14 Horas;957,775739276971;9,90652985680682e+01
2024;24;5;Ensino Médio;1;Até 14 Horas;1375,751383590157;3,06013454416773e+02
2024;25;5;Ensino Médio;1;Até 14 Horas;910,501222775284;1,12368278279685e+02
2024;26;5;Ensino Médio;1;Até 14 Horas;840,226066316260;7,86307375760231e+01
2024;27;5;Ensino Médio;1;Até 14 Horas;1207,558029550966;1,57687297864332e+02
2024;28;5;Ensino Médio;1;Até 14 Horas;1211,375270435430;1,98790202769770e+02
2024;29;5;Ensino Médio;1;Até 14 Horas;1111,439060768151;8,63600628793497e+01
2024;31;5;Ensino Médio;1;Até 14 Horas;1455,233137607420;9,44623407428313e+01
2024;32;5;Ensino Médio;1;Até 14 Horas;1974,069906915744;1,68495810407782e+02
2024;33;5;Ensino Médio;1;Até 14 Horas;1576,437210344171;1,43907549833735e+02
2024;35;5;Ensino Médio;1;Até 14 Horas;1942,018040306139;1,11748725922062e+02
2024;41;5;Ensino Médio;1;Até 14 Horas;2212,058992938806;1,79485221481256e+02
2024;42;5;Ensino Médio;1;Até 14 Horas;2301,676310456046;1,74029714402364e+02
2024;43;5;Ensino Médio;1;Até 14 Horas;1970,217732467461;1,10511744538326e+02
2024;50;5;Ensino Médio;1;Até 14 Horas;1448,887298682347;1,14991732583190e+02
