ano;UF;VD3004;escolaridade;V403312_1_Até 14 Horas;V403312_2_15 até 39 Horas;V403312_3_40 até 44 Horas;V403312_4_44 até 48 Horas;V403312_5_49 Horas +;se_1_Até 14 Horas;se_2_15 até 39 Horas;se_3_40 até 44 Horas;se_4_44 até 48 Horas;se_5_49 Horas +
2024;50;2;Ensino Fundamental;1196,581067462368;1326,975863587757;2353,418471104904;2645,526417290068;3008,403261351691;1,24639355219349e+02;94,7751565463197;81,9865329081492;195,7907942652021;2,18196163283927e+02
2024;51;2;Ensino Fundamental;1657,394178488212;1862,854991125137;2643,373387119545;2860,302913359438;3836,802379581655;2,13629320906149e+02;174,5803072951899;121,5306114536536;251,8478612249938;2,77511852905783e+02
2024;52;2;Ensino Fundamental;968,085832865352;1505,822931160505;2451,262819695030;2430,474215127482;2958,136779538422;1,11423738130575e+02;100,2706647706767;218,7806941574385;166,4671955927103;2,79773535038112e+02
2024;53;2;Ensino Fundamental;1264,213816280134;1368,961428777008;2059,514660423694;1928,416164092158;3541,682522303565;2,43421568965171e+02;74,7912615039869;115,1123518310955;150,2467030382148;1,10306010667019e+03
2024;11;3;Ensino Fundamental;1053,272007397127;1478,475161146447;2223,145797394885;3645,846385290395;6675,172627461977;3,42783900915047e+02;158,1501762494967;246,0320436841792;1087,2424792571796;3,64285060879768e+03
2024;12;3;Ensino Fundamental;1118,439723509664;1116,502044364139;1800,239820395476;1615,958005145942;2786,719140215649;4,93232446822766e+02;138,6333185079063;107,1526402230991;194,8081714744135;1,54677951880203e+03
2024;13;3;Ensino Fundamental;1013,126631569600;898,547832640283;1676,563874205078;1658,352822816209;1633,810604952985;3,28453127057698e+02;95,7958457399937;84,6541574794431;254,4002572398438;2,93690189015986e+02
2024;14;3;Ensino Fundamental;390,850936679861;1141,167404521121;2025,409914209512;1680,893843308890;1677,987652126034;3,29359673615964e+01;111,6259224471455;219,4111231804006;248,9403685955785;3,23116618914379e+02
2024;15;3;Ensino Fundamental;787,851084761077;1151,000481690930;1952,443680604593;1683,064192887016;2631,559524590815;1,68904240461017e+02;108,8247003577379;141,3316059004651;131,5439662040948;4,23141782083014e+02
2024;16;3;Ensino Fundamental;613,213508480664;1198,041421642101;2020,685097855388;1347,149756470296;1598,914009257236;3,48787786284733e+02;116,4292727163095;250,5357039216447;145,0282090537867;2,68160839188127e+02
