ano;UF;escolaridade;escolaridade_adj;renda_bruta_1_Até 14 Horas;renda_bruta_2_15 até 39 Horas;renda_bruta_3_40 até 44 Horas;renda_bruta_4_44 até 48 Horas;renda_bruta_5_49 Horas +;se_1_Até 14 Horas;se_2_15 até 39 Horas;se_3_40 até 44 Horas;se_4_44 até 48 Horas;se_5_49 Horas +
2024;42;2;Ensino Fundamental;1544,941318968007;1442,469397201726;2506,518642066026;2512,513072245039;3679,981150996844;4,08948223956916e+02;63,4567052153721;56,1968358308521;1,18200639144268e+02;3,86064262493830e+02
2024;43;2;Ensino Fundamental;708,205322325008;1327,388943740664;2125,685584476807;2466,822410311369;2950,225801044713;6,59221564884745e+01;73,0463757096809;58,8238763280737;2,47440888332457e+02;1,60657519390909e+02
2024;50;2;Ensino Fundamental;677,742308419448;1104,092100302040;2343,313174090796;2684,342930473257;2945,848331096000;8,63311181853345e+01;67,6414950182332;75,2437127978765;1,92133403042988e+02;2,16080575395302e+02
2024;51;2;Ensino Fundamental;893,972529048897;1563,378639976185;2681,274484720869;2779,793059696526;3978,914488177917;1,43664617244556e+02;107,0223734085107;117,5810220651244;2,42691196995525e+02;2,94965083618832e+02
2024;52;2;Ensino Fundamental;628,396687049244;1352,015641008042;2441,253559966896;2424,643533695788;2940,741169381778;9,89633901219390e+01;91,9980854515774;203,6486899694154;1,64463453805295e+02;2,72404265618501e+02
2024;53;2;Ensino Fundamental;1090,373367671741;1302,766603910866;2011,635613421149;1781,255269284164;3309,713026528064;4,00215828562837e+02;88,1876149766547;104,4959739807293;1,44661063213769e+02;9,92431112350050e+02
2024;11;3;Ensino Fundamental;591,722901063389;1437,534049180015;2215,754928072957;3707,453819066533;5481,055448032876;2,77367517743986e+02;170,0939683460544;242,8257031710270;1,15499314424515e+03;2,70062620749287e+03
2024;12;3;Ensino Fundamental;500,000000000000;1114,839490258259;1793,131594028528;1615,958005145942;2786,719140215649;2,31478480323162e-14;141,5025176520779;104,3589698842007;1,94808171474413e+02;1,54677951880203e+03
2024;13;3;Ensino Fundamental;815,615014514432;985,823748244730;1607,464177874149;1666,401019903338;1729,641914600908;3,81001338372570e+02;119,5116067828117;80,5082830592716;2,62128102117996e+02;3,05922423965937e+02
2024;14;3;Ensino Fundamental;413,746818974269;1142,339933884763;1988,836891855231;1680,893843308890;1677,987652126034;3,00868246339103e+01;118,0177642673203;219,7061269533660;2,48940368595579e+02;3,23116618914379e+02
2024;15;3;Ensino Fundamental;667,774980704620;1096,250200687652;1907,247982059739;1689,029906629207;2527,675985479952;2,73588108244157e+02;115,1170121338590;126,1185819991742;1,31430188750148e+02;4,17970862753970e+02
2024;16;3;Ensino Fundamental;676,946892983948;1119,374654164534;2020,685097855388;1404,304648931371;1627,880980205347;4,50287439581550e+02;122,9106824360577;250,5357039216447;1,88292060887904e+02;2,42367108765901e+02
2024;17;3;Ensino Fundamental;514,210049770313;1150,321888779573;1990,372182682694;2309,775631833527;4316,215754652992;2,03447677280193e+02;156,9780470447133;135,7241820087263;5,18635024418848e+02;9,38883274829525e+02
2024;21;3;Ensino Fundamental;628,099441992662;825,193463142140;1676,595793977498;1455,377982899109;2373,547071280405;2,70564985479892e+02;45,2674938493617;224,8708579719827;1,78349208463491e+02;6,37512076839407e+02
2024;22;3;Ensino Fundamental;465,518280632238;962,958049234973;1928,529516922769;1981,352062253771;3224,045038846454;7,07007571292726e+01;122,5876731267076;255,7930849626877;4,14523814887678e+02;1,02389786049583e+03
2024;23;3;Ensino Fundamental;407,019626633497;732,884557615114;1648,863697558827;1457,428076091385;1929,367188743548;6,48884569834910e+01;71,8786576063381;114,3476667253837;1,24569814969979e+02;2,13701879685474e+02
2024;24;3;Ensino Fundamental;280,530037600732;747,953868966330;1484,332743871530;2253,963559457339;24068,471444817143;4,47402324851294e+01;83,3500088483258;74,4491532380695;4,26716675729994e+02;2,53518994784641e+04
2024;25;3;Ensino Fundamental;3245,323733889876;819,572968914532;1484,036521205532;1470,722571700404;1007,816516033060;2,58016015081626e+03;130,4288422678796;80,8809008449794;1,38455067030804e+02;2,09537292419091e+02
2024;26;3;Ensino Fundamental;465,940505322704;778,628437054060;1606,619708736740;1322,871892670527;1994,584813886700;1,05872710217565e+02;59,4733950072903;84,1610604485624;1,39899316031909e+02;2,79228222628936e+02
2024;27;3;Ensino Fundamental;438,436270421405;1013,542191184838;1554,291219429790;1572,879806949686;2580,170505420736;8,11375839065282e+01;67,4030963781092;67,2279915620955;1,13627145247630e+02;8,71979219041192e+02
2024;28;3;Ensino Fundamental;549,708716563361;883,909540085074;1723,615806903200;1628,364439795611;1578,719397671923;1,25102468871706e+02;70,9511588701117;212,2101188733649;2,51372471973720e+02;1,89234603246072e+02
2024;29;3;Ensino Fundamental;586,210507304277;1573,050468796011;1897,446468190710;1822,046081621974;1831,953163833877;1,07775986810950e+02;504,8025784473091;155,6852094351001;3,31650980212692e+02;2,81033438945782e+02
2024;31;3;Ensino Fundamental;822,635945091683;1297,543224642656;2057,578463938562;1975,670895450053;2896,850121242148;1,54454455111723e+02;91,7825256118801;64,5789952280544;1,05609158783562e+02;3,08487548655916e+02
2024;32;3;Ensino Fundamental;486,296972218485;1484,175511739770;2354,075956779920;2041,307485062756;2699,129395333759;6,12156955848802e+01;191,3572066252814;165,3344189663143;2,07533403446313e+02;4,13238239353714e+02
2024;33;3;Ensino Fundamental;879,746267651021;1352,600926079765;1992,486220191317;1876,751588537169;2330,654194903220;2,81933214153433e+02;84,9966645737943;71,5492753888686;9,86587091441912e+01;1,73456023699985e+02
2024;35;3;Ensino Fundamental;781,346438817828;1726,402342442870;2324,507785954396;2602,711427332790;3107,881155151091;7,87661729417460e+01;181,6173196611134;80,7946472445377;1,53890824012435e+02;2,82704367652876e+02
2024;41;3;Ensino Fundamental;798,985067214771;1710,046192415411;2481,020480848210;2635,244299656692;3425,881159082491;1,04966541665310e+02;214,0034939914689;89,1353294305156;2,27496542969606e+02;3,87834862820056e+02
2024;42;3;Ensino Fundamental;946,980380512703;1505,567546022153;2609,877495821915;2966,990620403164;2932,200609310898;1,69945133970044e+02;66,0548813624569;65,4425188744306;4,46044031398378e+02;1,31079567947161e+02
2024;43;3;Ensino Fundamental;866,726894580557;1492,443313806544;2506,239051304795;2323,429927856214;3083,615663003864;1,55527328215841e+02;114,4820695115122;156,3004746503950;2,78846735479961e+02;3,21271050800656e+02
2024;50;3;Ensino Fundamental;921,373663774986;1272,299301191540;2189,558044288366;2481,702428465740;2656,681412661442;1,84340915741431e+02;180,5437680132166;102,2256299865737;1,90730047032244e+02;1,97362409266908e+02
2024;51;3;Ensino Fundamental;647,377293523834;1474,359339899518;2700,413040381150;2944,620879500292;4856,702280507615;2,07731994546306e+02;170,4781134383839;153,3135516500241;4,78472548195642e+02;8,45922699244682e+02
2024;52;3;Ensino Fundamental;377,901593233015;1845,468542347666;2591,237841054349;2935,046387109377;2941,906080029002;1,19523372492736e+02;262,6635114836642;195,6837111785738;3,71684738844557e+02;2,46451234449671e+02
2024;53;3;Ensino Fundamental;886,056680555614;1203,127995018839;2112,282978530172;2924,510546797944;2080,320569598916;2,56917520291315e+02;126,6949665980141;115,8452469674732;5,99701261590753e+02;2,75168233120468e+02
