ano;UF;escolaridade;escolaridade_adj;horas_trabalhadas;faixa_horas_trabalhadas;renda_bruta;se
2024;35;4;Ensino Médio;1;Até 14 Horas;867,632577018011;1,38773376694569e+02
2024;41;4;Ensino Médio;1;Até 14 Horas;2384,304076187539;1,45137046674957e+03
2024;42;4;Ensino Médio;1;Até 14 Horas;850,582006978890;2,60113830431190e+02
2024;43;4;Ensino Médio;1;Até 14 Horas;1062,438140326747;2,09419775915223e+02
2024;50;4;Ensino Médio;1;Até 14 Horas;712,638181853106;1,71653926860907e+02
2024;51;4;Ensino Médio;1;Até 14 Horas;1217,779143575262;6,05323132485895e+02
2024;52;4;Ensino Médio;1;Até 14 Horas;708,904707193608;2,01851108060331e+02
2024;53;4;Ensino Médio;1;Até 14 Horas;2886,516801289098;2,19492997149613e+03
2024;11;5;Ensino Médio;1;Até 14 Horas;1365,901295005592;7,35497004456631e+02
2024;12;5;Ensino Médio;1;Até 14 Horas;566,884959381895;6,93445897945465e+01
2024;13;5;Ensino Médio;1;Até 14 Horas;621,831071479218;1,53412539815495e+02
2024;14;5;Ensino Médio;1;Até 14 Horas;519,637638194004;1,63062729334398e+02
2024;15;5;Ensino Médio;1;Até 14 Horas;638,981870962005;8,62765009315011e+01
2024;16;5;Ensino Médio;1;Até 14 Horas;823,730473561102;3,21983565659517e+02
2024;17;5;Ensino Médio;1;Até 14 Horas;538,404402640729;1,03327397629929e+02
2024;21;5;Ensino Médio;1;Até 14 Horas;756,361991181779;9,43616748839029e+01
2024;22;5;Ensino Médio;1;Até 14 Horas;457,267532984747;5,72246996687282e+01
2024;23;5;Ensino Médio;1;Até 14 Horas;656,239919773819;1,00754277346771e+02
2024;24;5;Ensino Médio;1;Até 14 Horas;1412,709929351189;4,78302635274919e+02
2024;25;5;Ensino Médio;1;Até 14 Horas;693,809180106996;1,23071468087958e+02
2024;26;5;Ensino Médio;1;Até 14 Horas;522,213909270695;8,17450655437810e+01
2024;27;5;Ensino Médio;1;Até 14 Horas;705,375055721952;1,34585317647959e+02
2024;28;5;Ensino Médio;1;Até 14 Horas;958,418771911901;3,26362646375742e+02
2024;29;5;Ensino Médio;1;Até 14 Horas;645,538501821866;8,98273968426056e+01
2024;31;5;Ensino Médio;1;Até 14 Horas;806,933872164828;1,24776342737775e+02
2024;32;5;Ensino Médio;1;Até 14 Horas;1533,112453643389;2,58350452459469e+02
2024;33;5;Ensino Médio;1;Até 14 Horas;1028,305340447129;1,49229171164422e+02
2024;35;5;Ensino Médio;1;Até 14 Horas;1240,008979572515;1,04084837743192e+02
2024;41;5;Ensino Médio;1;Até 14 Horas;1031,929161351938;1,48972281484293e+02
2024;42;5;Ensino Médio;1;Até 14 Horas;1883,879458064775;3,12922321901268e+02
2024;43;5;Ensino Médio;1;Até 14 Horas;869,424155916644;1,13434430723967e+02
2024;50;5;Ensino Médio;1;Até 14 Horas;834,379296349973;1,15021316596538e+02
2024;51;5;Ensino Médio;1;Até 14 Horas;1043,688838619408;1,61284049652034e+02
2024;52;5;Ensino Médio;1;Até 14 Horas;1349,621644442523;2,32479773711140e+02
2024;53;5;Ensino Médio;1;Até 14 Horas;1898,352490456619;6,89578706804331e+02
2024;12;6;Ensino Superior;1;Até 14 Horas;255,125491786600;1,06503257569042e+02
2024;13;6;Ensino Superior;1;Até 14 Horas;652,201149497435;2,91590975635685e+02
2024;14;6;Ensino Superior;1;Até 14 Horas;1495,075146692287;8,46539031002504e+02
2024;15;6;Ensino Superior;1;Até 14 Horas;381,369758033776;1,47003146086426e+02
2024;17;6;Ensino Superior;1;Até 14 Horas;1009,350905882716;2,92765600817121e+02
2024;21;6;Ensino Superior;1;Até 14 Horas;1031,493371327740;3,97235266343123e+02
2024;22;6;Ensino Superior;1;Até 14 Horas;699,558249377024;2,64781391227343e+02
2024;23;6;Ensino Superior;1;Até 14 Horas;856,757776824643;1,66384653615170e+02
2024;24;6;Ensino Superior;1;Até 14 Horas;1200,000000000000;0,00000000000000e+00
2024;25;6;Ensino Superior;1;Até 14 Horas;389,326916102861;1,22748005096518e+02
2024;26;6;Ensino Superior;1;Até 14 Horas;100,000000000000;2,46756889129031e-15
2024;27;6;Ensino Superior;1;Até 14 Horas;820,131699330674;2,94998214828929e+02
2024;28;6;Ensino Superior;1;Até 14 Horas;253,216962308386;4,07117440818862e+01
2024;29;6;Ensino Superior;1;Até 14 Horas;1190,532604354746;5,21210352773082e+02
2024;31;6;Ensino Superior;1;Até 14 Horas;1510,580018124339;7,16129543261998e+02
2024;32;6;Ensino Superior;1;Até 14 Horas;1083,821723667323;2,15582124193306e+02
2024;33;6;Ensino Superior;1;Até 14 Horas;820,137871819862;1,17546675556169e+02
2024;35;6;Ensino Superior;1;Até 14 Horas;2711,605872947388;1,06826305728964e+03
2024;41;6;Ensino Superior;1;Até 14 Horas;2064,099211164738;1,12647949492701e+03
2024;42;6;Ensino Superior;1;Até 14 Horas;1245,447757157691;3,89864970811680e+02
2024;43;6;Ensino Superior;1;Até 14 Horas;1674,008118545771;3,53180482301158e+02
2024;50;6;Ensino Superior;1;Até 14 Horas;524,775783639937;2,72565610113020e+02
2024;51;6;Ensino Superior;1;Até 14 Horas;898,133373952494;3,81327925404190e+02
2024;52;6;Ensino Superior;1;Até 14 Horas;1483,283858275983;5,47123272482322e+02
2024;53;6;Ensino Superior;1;Até 14 Horas;2974,836370620791;2,15964712342075e+03
2024;11;7;Ensino Superior;1;Até 14 Horas;906,689247835345;3,83051666101632e+02
2024;12;7;Ensino Superior;1;Até 14 Horas;1961,446257231409;1,04938753012122e+03
2024;13;7;Ensino Superior;1;Até 14 Horas;763,335826864865;3,50198514825049e+02
2024;14;7;Ensino Superior;1;Até 14 Horas;797,851216245178;2,06552368809745e+02
2024;15;7;Ensino Superior;1;Até 14 Horas;1718,239200924587;4,90101211274422e+02
2024;16;7;Ensino Superior;1;Até 14 Horas;6413,679705577313;3,74038247483069e+03
2024;17;7;Ensino Superior;1;Até 14 Horas;2083,883197517671;6,98991001205441e+02
2024;21;7;Ensino Superior;1;Até 14 Horas;3169,446376025252;7,48868869978803e+02
